legal_name,dba_name,city,county,zip,address,phone,website,owner_name,owner_age_estimate,owner_age_source,owner_tenure_years,years_in_business,provider_count_estimate,employee_count_estimate,is_distressed,distress_reasons,layer1_base_rate,layer1_comment,layer2_sellability,layer2_comment,layer3_behavioral_trigger,layer3_comment,layer4_market_pull,layer4_comment,final_score,final_tier,final_comment,value_add_thesis,confidence,data_completeness
Collinsworth Car Care Center,Collinsworth Car Care,Garland,Dallas,,"3201 Saturn Rd, Garland, TX 75041",,https://www.collinsworthcarcare.com/,Collinsworth family (specific names not on website),90,license_tenure_proxy,70,70,,,False,,93,"Collinsworth family (specific names not on website), est. age ~90 (license_tenure_proxy: founded 1956), 70-yr business tenure. Owner age is proxy from founding year; no OV65 / voter file verified in this run.",89,"70-yr business, ASE, fleet contracts visible. SBA-size estimate ~$900K-$2M (5-8 bays est). Healthy multi-decade independent.",78,"4+ strong coasting tells: no online booking, M-F only (no Saturday), no EV / hybrid repair, founded 1956 — 70-yr established. Classic coasting-solo pre-sale profile.",81,Dallas County. industrial/fleet corridor Garland (+3). Driven Brands + Sun Auto + Mavis active in TX major metros for bolt-ons; $1-3M-rev solo-owner shops below platform radar = ETA/search-fund sweet spot.,86,B_forward,"Collinsworth family (specific names not on website), ~70-yr Garland (Dallas) shop. L1 93 / L2 89 / L3 78 / L4 81 = final 86. Coasting tells: no online booking, M-F only (no Saturday), no EV / hybrid repair. 4+ strong coasting tells: no online booking, M-F only (no Saturday), no EV / hybrid repair, founded 1956 — 70-yr established. Classic coasting-solo pre-sale profile.",Modern shop management software migration (tekmetric/shop-ware/autoleap) with online booking + sms reminders. Ev/hybrid service training + capability investment. Saturday hours to capture commuter market. Scale fleet contract base (+20-30% revenue growth). Credible 1.5-2× EBITDA path over 18-24 months.,medium,1.0
Poutous 1960 Auto Repair,Poutous Automotive,Jersey Village,Harris,77040,"8911 Mills Rd, Houston, TX 77064",,https://www.poutousautorepair.com/,Poutous family (specific name not on website),90,license_tenure_proxy,58,58,,,False,,93,"Poutous family (specific name not on website), est. age ~90 (license_tenure_proxy: founded 1968), 58-yr business tenure. Owner age is proxy from founding year; no OV65 / voter file verified in this run.",89,"58-yr business, ASE, fleet contracts visible. SBA-size estimate ~$900K-$2M (5-8 bays est). Healthy multi-decade independent.",78,"4+ strong coasting tells: no online booking, no SMS reminders, M-F only (no Saturday), no EV / hybrid repair, founded 1968 — 58-yr established. Classic coasting-solo pre-sale profile.",81,Harris County. outer suburb Jersey Village (+1). Driven Brands + Sun Auto + Mavis active in TX major metros for bolt-ons; $1-3M-rev solo-owner shops below platform radar = ETA/search-fund sweet spot.,86,B_forward,"Poutous family (specific name not on website), ~58-yr Jersey Village (Harris) shop. L1 93 / L2 89 / L3 78 / L4 81 = final 86. Coasting tells: no online booking, no SMS reminders, M-F only (no Saturday). 4+ strong coasting tells: no online booking, no SMS reminders, M-F only (no Saturday), no EV / hybrid repair, founded 1968 — 58-yr established. Classic coasting-solo pre-sale profile.",Modern shop management software migration (tekmetric/shop-ware/autoleap) with online booking + sms reminders. Ev/hybrid service training + capability investment. Saturday hours to capture commuter market. Scale fleet contract base (+20-30% revenue growth). Credible 1.5-2× EBITDA path over 18-24 months.,medium,1.0
Reliant Complete Auto Care,Reliant Auto Care,Humble,Harris,,"3511 FM 1960 E, Humble, TX 77338",,https://www.reliantautocare.com/,Family-owned (no names visible),90,license_tenure_proxy,81,81,,,False,,93,"Family-owned (no names visible), est. age ~90 (license_tenure_proxy: founded 1945), 81-yr business tenure. Owner age is proxy from founding year; no OV65 / voter file verified in this run.",90,"81-yr business, Bosch-certified, fleet contracts visible. SBA-size estimate ~$900K-$2M (5-8 bays est). Healthy multi-decade independent.",78,"4+ strong coasting tells: no online booking, no SMS reminders, no EV / hybrid repair, founded 1945 — 81-yr established. Classic coasting-solo pre-sale profile.",84,"Harris County. outer suburb Humble (+1), German-import specialty (+3). Driven Brands + Sun Auto + Mavis active in TX major metros for bolt-ons; $1-3M-rev solo-owner shops below platform radar = ETA/search-fund sweet spot.",86,B_forward,"Family-owned (no names visible), ~81-yr Humble (Harris) shop. L1 93 / L2 90 / L3 78 / L4 84 = final 86. Coasting tells: no online booking, no SMS reminders, no EV / hybrid repair. 4+ strong coasting tells: no online booking, no SMS reminders, no EV / hybrid repair, founded 1945 — 81-yr established. Classic coasting-solo pre-sale profile.",Modern shop management software migration (tekmetric/shop-ware/autoleap) with online booking + sms reminders. Ev/hybrid service training + capability investment. Scale fleet contract base (+20-30% revenue growth). Real-estate sale-leaseback if owner owns building (cad lookup pending). Credible 1.5-2× EBITDA path over 18-24 months.,medium,0.9
Addison Auto Repair,Addison Automotive,Addison,Dallas,,"14735 Inwood Rd, Addison, TX 75001",,https://addisonautorepairdfw.com/,Family-owned (no specific names on website),86,license_tenure_proxy,54,54,,,False,,93,"Family-owned (no specific names on website), est. age ~86 (license_tenure_proxy: founded 1972), 54-yr business tenure. Owner age is proxy from founding year; no OV65 / voter file verified in this run.",89,"54-yr business, ASE, fleet contracts visible. SBA-size estimate ~$900K-$2M (5-8 bays est). Healthy multi-decade independent.",78,"4+ strong coasting tells: M-F only (no Saturday), reduced Friday hours, no EV / hybrid repair, founded 1972 — 54-yr established. Classic coasting-solo pre-sale profile.",79,Dallas County. outer suburb Addison (+1). Driven Brands + Sun Auto + Mavis active in TX major metros for bolt-ons; $1-3M-rev solo-owner shops below platform radar = ETA/search-fund sweet spot.,85,B_forward,"Family-owned (no specific names on website), ~54-yr Addison (Dallas) shop. L1 93 / L2 89 / L3 78 / L4 79 = final 85. Coasting tells: M-F only (no Saturday), reduced Friday hours, no EV / hybrid repair. 4+ strong coasting tells: M-F only (no Saturday), reduced Friday hours, no EV / hybrid repair, founded 1972 — 54-yr established. Classic coasting-solo pre-sale profile.",Ev/hybrid service training + capability investment. Saturday hours to capture commuter market. Scale fleet contract base (+20-30% revenue growth). Real-estate sale-leaseback if owner owns building (cad lookup pending). Credible 1.5-2× EBITDA path over 18-24 months.,medium,1.0
Byrd Automotive,Byrd Automotive,The Woodlands,Montgomery,,"2445 High Timbers Dr, The Woodlands TX 77380 + 311 N Live Oak St, Tomball TX 77375",,https://www.byrdautomotive.com/,Byrd family (specific names not on website),69,license_tenure_proxy,37,37,,,False,,93,"Byrd family (specific names not on website), est. age ~69 (license_tenure_proxy: founded 1989), 37-yr business tenure. Owner age is proxy from founding year; no OV65 / voter file verified in this run.",88,"37-yr business, ASE, AAA Approved, fleet contracts visible, multi-location. SBA-size estimate ~$2-4M (8-12 bays sweet spot). Healthy multi-decade independent.",78,"4+ strong coasting tells: no SMS reminders, M-F only (no Saturday), no EV / hybrid repair, founded 1989 — 37-yr established. Classic coasting-solo pre-sale profile.",75,Montgomery County. premium suburb The Woodlands (+2). Driven Brands + Sun Auto + Mavis active in TX major metros for bolt-ons; $1-3M-rev solo-owner shops below platform radar = ETA/search-fund sweet spot.,85,B_forward,"Byrd family (specific names not on website), ~37-yr The Woodlands (Montgomery) shop. L1 93 / L2 88 / L3 78 / L4 75 = final 85. Coasting tells: no SMS reminders, M-F only (no Saturday), no EV / hybrid repair. 4+ strong coasting tells: no SMS reminders, M-F only (no Saturday), no EV / hybrid repair, founded 1989 — 37-yr established. Classic coasting-solo pre-sale profile.",Modern shop management software migration (tekmetric/shop-ware/autoleap) with online booking + sms reminders. Ev/hybrid service training + capability investment. Saturday hours to capture commuter market. Scale fleet contract base (+20-30% revenue growth). Credible 1.5-2× EBITDA path over 18-24 months.,medium,1.0
Hillin's Auto Repair,Hillin's Auto Repair,San Antonio,Bexar,,"1511 Somerset Rd, San Antonio, TX 78211",,https://hillinsautorepair.net/,Hillin family (specific names not on website),76,license_tenure_proxy,44,44,,,False,,93,"Hillin family (specific names not on website), est. age ~76 (license_tenure_proxy: founded 1982), 44-yr business tenure. Owner age is proxy from founding year; no OV65 / voter file verified in this run.",89,"44-yr business, ASE, ASE Master/Blue Seal. SBA-size estimate ~$900K-$2M (5-8 bays est). Healthy multi-decade independent.",78,"4+ strong coasting tells: no SMS reminders, M-F only (no Saturday), no EV / hybrid repair, founded 1982 — 44-yr established. Classic coasting-solo pre-sale profile.",75,Bexar County. baseline metro. Driven Brands + Sun Auto + Mavis active in TX major metros for bolt-ons; $1-3M-rev solo-owner shops below platform radar = ETA/search-fund sweet spot.,85,B_forward,"Hillin family (specific names not on website), ~44-yr San Antonio (Bexar) shop. L1 93 / L2 89 / L3 78 / L4 75 = final 85. Coasting tells: no SMS reminders, M-F only (no Saturday), no EV / hybrid repair. 4+ strong coasting tells: no SMS reminders, M-F only (no Saturday), no EV / hybrid repair, founded 1982 — 44-yr established. Classic coasting-solo pre-sale profile.",Modern shop management software migration (tekmetric/shop-ware/autoleap) with online booking + sms reminders. Ev/hybrid service training + capability investment. Saturday hours to capture commuter market. Build commercial fleet contract base for recurring revenue. Credible 1.5-2× EBITDA path over 18-24 months.,medium,1.0
Arbor Autoworks,Arbor Autoworks,Austin,Travis,,"5422 Burnet Road, Austin, TX 78756",,https://arborautoworks.com/,Michael Phan (Owner & Service Advisor),68,license_tenure_proxy,36,36,,,False,,93,"Michael Phan (Owner & Service Advisor), est. age ~68 (license_tenure_proxy: founded 1990), 36-yr business tenure. Owner age is proxy from founding year; no OV65 / voter file verified in this run.",82,"36-yr business, ASE, fleet contracts visible. SBA-size estimate ~$900K-$2M (5-8 bays est). Healthy multi-decade independent.",78,"4+ strong coasting tells: no SMS reminders, M-F only (no Saturday), no EV / hybrid repair, owner still wrenching / front-counter, founded 1990 — 36-yr established. Classic coasting-solo pre-sale profile.",78,Travis County. baseline metro. Driven Brands + Sun Auto + Mavis active in TX major metros for bolt-ons; $1-3M-rev solo-owner shops below platform radar = ETA/search-fund sweet spot.,84,B_forward,"Michael Phan (Owner & Service Advisor), ~36-yr Austin (Travis) shop. L1 93 / L2 82 / L3 78 / L4 78 = final 84. Coasting tells: no SMS reminders, M-F only (no Saturday), no EV / hybrid repair. 4+ strong coasting tells: no SMS reminders, M-F only (no Saturday), no EV / hybrid repair, owner still wrenching / front-counter, founded 1990 — 36-yr established. Classic coasting-solo pre-sale profile.",Modern shop management software migration (tekmetric/shop-ware/autoleap) with online booking + sms reminders. Transition owner from bay/counter to manager-only operating posture. Ev/hybrid service training + capability investment. Saturday hours to capture commuter market. Credible 1.5-2× EBITDA path over 18-24 months.,medium,1.0
AutoWorks,AutoWorks San Antonio,San Antonio,Bexar,,"4727 Timco W, San Antonio, TX 78238",,https://autoworksatx.com/,Family-owned (no names visible),75,license_tenure_proxy,43,43,,,False,,93,"Family-owned (no names visible), est. age ~75 (license_tenure_proxy: founded 1983), 43-yr business tenure. Owner age is proxy from founding year; no OV65 / voter file verified in this run.",84,"43-yr business, ASE. SBA-size estimate ~$900K-$2M (5-8 bays est). Healthy multi-decade independent.",78,"4+ strong coasting tells: reduced Friday hours, no EV / hybrid repair, EXPLICITLY excludes EV repair, founded 1983 — 43-yr established. Classic coasting-solo pre-sale profile.",75,Bexar County. baseline metro. Driven Brands + Sun Auto + Mavis active in TX major metros for bolt-ons; $1-3M-rev solo-owner shops below platform radar = ETA/search-fund sweet spot.,84,B_forward,"Family-owned (no names visible), ~43-yr San Antonio (Bexar) shop. L1 93 / L2 84 / L3 78 / L4 75 = final 84. Coasting tells: reduced Friday hours, no EV / hybrid repair, EXPLICITLY excludes EV repair. 4+ strong coasting tells: reduced Friday hours, no EV / hybrid repair, EXPLICITLY excludes EV repair, founded 1983 — 43-yr established. Classic coasting-solo pre-sale profile.",Ev/hybrid service training + capability investment. Build commercial fleet contract base for recurring revenue. Real-estate sale-leaseback if owner owns building (cad lookup pending). Credible 1.5-2× EBITDA path over 18-24 months.,medium,1.0
Midtown Auto Service & Repair,Midtown Auto Service,Houston,Harris,77004,"Houston, TX 77004 Midtown / Almeda Road",,https://www.midtownautoservice.net/,Mike Yu,71,license_tenure_proxy,39,39,,,False,,93,"Mike Yu, est. age ~71 (license_tenure_proxy: founded 1987), 39-yr business tenure. Owner age is proxy from founding year; no OV65 / voter file verified in this run.",84,"39-yr business, ASE, AAA Approved, NAPA AutoCare. SBA-size estimate ~$900K-$2M (5-8 bays est). Healthy multi-decade independent.",78,"4+ strong coasting tells: no online booking, no SMS reminders, no EV / hybrid repair, owner still wrenching / front-counter, founded 1987 — 39-yr established. Classic coasting-solo pre-sale profile.",80,Harris County. baseline metro. Driven Brands + Sun Auto + Mavis active in TX major metros for bolt-ons; $1-3M-rev solo-owner shops below platform radar = ETA/search-fund sweet spot.,84,B_forward,"Mike Yu, ~39-yr Houston (Harris) shop. L1 93 / L2 84 / L3 78 / L4 80 = final 84. Coasting tells: no online booking, no SMS reminders, no EV / hybrid repair. 4+ strong coasting tells: no online booking, no SMS reminders, no EV / hybrid repair, owner still wrenching / front-counter, founded 1987 — 39-yr established. Classic coasting-solo pre-sale profile.",Modern shop management software migration (tekmetric/shop-ware/autoleap) with online booking + sms reminders. Transition owner from bay/counter to manager-only operating posture. Ev/hybrid service training + capability investment. Build commercial fleet contract base for recurring revenue. Credible 1.5-2× EBITDA path over 18-24 months.,medium,1.0
Lorentz Automotive,Lorentz Auto Denton,Denton,Denton,76201,"505 N Elm St, Denton, TX 76201",,https://lorentzautodenton.com/,Lorentz family (specific names not on website),76,license_tenure_proxy,44,44,,,False,,93,"Lorentz family (specific names not on website), est. age ~76 (license_tenure_proxy: founded 1982), 44-yr business tenure. Owner age is proxy from founding year; no OV65 / voter file verified in this run.",84,"44-yr business, ASE. SBA-size estimate ~$900K-$2M (5-8 bays est). Healthy multi-decade independent.",78,"4+ strong coasting tells: no online booking, no SMS reminders, M-F only (no Saturday), no EV / hybrid repair, founded 1982 — 44-yr established. Classic coasting-solo pre-sale profile.",73,Denton County. baseline metro. Driven Brands + Sun Auto + Mavis active in TX major metros for bolt-ons; $1-3M-rev solo-owner shops below platform radar = ETA/search-fund sweet spot.,83,B_forward,"Lorentz family (specific names not on website), ~44-yr Denton (Denton) shop. L1 93 / L2 84 / L3 78 / L4 73 = final 83. Coasting tells: no online booking, no SMS reminders, M-F only (no Saturday). 4+ strong coasting tells: no online booking, no SMS reminders, M-F only (no Saturday), no EV / hybrid repair, founded 1982 — 44-yr established. Classic coasting-solo pre-sale profile.",Modern shop management software migration (tekmetric/shop-ware/autoleap) with online booking + sms reminders. Ev/hybrid service training + capability investment. Saturday hours to capture commuter market. Build commercial fleet contract base for recurring revenue. Credible 1.5-2× EBITDA path over 18-24 months.,medium,1.0
