legal_name,dba_name,city,county,state,zip,address,phone,website,vertical,naics_code,owner_name,owner_age_estimate,owner_age_source,owner_tenure_years,year_established,years_in_business,entity_status,is_distressed,estimated_employee_count,specialty,score_run_id,layer1_base_rate,layer1_comment,layer2_sellability,layer2_comment,layer3_behavioral_trigger,layer3_comment,layer4_market_pull,layer4_comment,final_score,final_tier,final_comment,value_add_thesis,confidence,data_completeness,deep_dive_pending,hard_gate_reason
Walkup Company,,Houston,Harris,TX,,,,https://www.walkupco.com/,welding_metal_fab,332710,"Walkup family — 4 generations active. Bill Edward Walkup founded Houston operation 1944; family roots in metal trades since 1915 (Walkup Brother's Tin Shop, Waco). Charles Walkup (founder's father) was 1st gen; Bill Walkup was 2nd gen; today 4 generations active.",60,"generational_math — 4th gen now active means current operating principal likely 50-65; Bill founded in 1944 at ~22 (born 1905), so 3rd and 4th gen now in operating roles",,1944,82,Active (assumed; not verified via Comptroller in this batch — Comptroller search redirects to interactive form),False,40,"plate and sheet metal fabrication; laser cutting, bending, plate rolling, prototyping",c03c477f-f30f-4a21-8c1b-c69cb707803b,71,Owner age ~60 approaching succession window (58-62); tenure 82 yrs (mod +6),72,"certs: ISO 9001, AS9100, ITAR (+10); customers: established repeat customers (+3); RE: owns building (+4); emp band 40 (+5)",50,pre-1990 same shop (+12); CAD/CAM present (-5); no modern equip (+3); anonymous principal (+4); no certs listed (+1),74,Harris County metro (74); welding=low PE attention/entry oppty,65,C,Score 65 (C) | L1=71 L2=72 L3=50 L4=74 | raw 65 (C) → C after gates | Confidence=high,CAD/CAM digital quoting + ERP modernization for EBITDA lift | Successor-as-GM retention path; sale-leaseback of facility,high,0.75,False,
"Cameo Fabricators, Inc.",,Houston,Harris,TX,,,,https://www.cameofab.com/,welding_metal_fab,332710,"Larry Coleman (president, 2nd gen, 35+ years as president). L.V. Coleman (vice president, 3rd gen since 2004). Founder Les Coleman.",70,"founder_tenure_proxy — Larry has been president 35+ years; if he took over in his 30s in ~1990, he is now ~65-70. L.V. has been VP since 2004 (~22 yrs), likely 45-55 now.",,1969,57,Active (assumed),False,35,"custom pipe fittings, spools, flanges (stainless and exotic alloys) for petrochem/refining/offshore",c03c477f-f30f-4a21-8c1b-c69cb707803b,98,Owner age ~70 in late-retirement window (68+); tenure 57 yrs (mod +6),78,"certs: ISO 9001, AS9100 (+10); customers: petrochem, established repeat customers, offshore/marine (+9); niche: exotic-alloy specialty (+4); emp band 35 (+5)",46,pre-1990 same shop (+12); CAD/CAM present (-5); no modern equip (+3); no certs listed (+1),82,Houston Ship Channel / petrochem corridor (82); welding=low PE attention/entry oppty,75,B,Score 75 (B) | L1=98 L2=78 L3=46 L4=82 | raw 75 (B) → B after gates | Confidence=high,Turnaround/MRO recurring contracts + digital quoting for petrochem owners | CAD/CAM digital quoting + ERP modernization for EBITDA lift | Successor-as-GM retention path; sale-leaseback of facility,high,0.85,True,
Patina Metals Inc.,,Houston,Harris,TX,,,,https://www.patinametals.com/,welding_metal_fab,332323,Emmott family (no specific principal named publicly; family identity confirmed across website),,unknown — family name confirmed but no individual named; needs CAD/Comptroller pull,,1957,69,Active (assumed),False,25,"ornamental iron / architectural metalwork — spiral stairs, driveway gates, entry doors, canopies, trellises, decorative grilles",c03c477f-f30f-4a21-8c1b-c69cb707803b,66,Age unknown; tenure proxy (69 yrs) suggests owner age window; tenure 69 yrs (mod +6),50,emp band 25 (+5); discounts -5; pure-ornamental discount,56,pre-1990 same shop (+12); no CAD/CAM stack (+4); modern equip noted (-4); social absent (+3); succession gap noted (+5); no certs listed (+1),74,Harris County metro (74); welding=low PE attention/entry oppty,60,C,Score 60 (C) | L1=66 L2=50 L3=56 L4=74 | raw 60 (C) → C after gates | Confidence=low,Premium-residential digital marketing + architect-channel partnership | CAD/CAM digital quoting + ERP modernization for EBITDA lift | Successor-as-GM retention path; sale-leaseback of facility,low,0.5,False,
"Ober and Sons, Inc.",,Houston,Harris,TX,,,,https://oberandsons.com/,welding_metal_fab,332313,"Ron Ober (founder, 1986) and 3 sons: Mike Ober, Ryan Ober, Eric Ober",70,"founder_tenure_proxy — Ron founded 1986 at typical age 30-40, so now ~65-80; sons likely 35-55",,1986,40,Active (assumed),False,15,"custom steel fabrication, structural welding (AWS certified, City of Houston certified)",c03c477f-f30f-4a21-8c1b-c69cb707803b,96,Owner age ~70 in late-retirement window (68+); tenure 40 yrs (mod +4),59,customers: public/civic bid list (+3); emp band 15 (+5),58,pre-1990 same shop (+12); no CAD/CAM stack (+4); no modern equip (+3); social absent (+3); no certs listed (+1),74,Harris County metro (74); welding=low PE attention/entry oppty,72,B,Score 72 (B) | L1=96 L2=59 L3=58 L4=74 | raw 72 (B) → B after gates | Confidence=high,CAD/CAM digital quoting + ERP modernization for EBITDA lift | Successor-as-GM retention path; sale-leaseback of facility,high,0.7,True,
"JK Welding, LLC",,Cypress,Harris,TX,,,,https://jkwelding.net/,welding_metal_fab,332710,John King (founder),58,"founder_tenure_proxy — founded 2005 by John King, owner-welder pattern, current age 55-65 range",,2005,21,Active (assumed),False,25,"aluminum, stainless, steel fabrication; oilfield skids, custom platforms, sheet metal, railings",c03c477f-f30f-4a21-8c1b-c69cb707803b,65,Owner age ~58 approaching succession window (58-62); tenure 21 yrs (mod +0),55,emp band 25 (+5),23,CAD/CAM present (-5); modern equip noted (-4); active social (-4); no certs listed (+1),74,Harris County metro (74); welding=low PE attention/entry oppty,51,D,Score 51 (D) | L1=65 L2=55 L3=23 L4=74 | raw 51 (D) → D after gates | Confidence=high,CAD/CAM digital quoting + ERP modernization for EBITDA lift | Successor-as-GM retention path; sale-leaseback of facility,high,0.7,False,
"Pinnica, Inc.",,Houston,Harris,TX,,,,https://www.pinnica.net/,welding_metal_fab,332313,Pablo Pineiro and Martha Pineiro (founders/owners),65,"founder_tenure_proxy — founded 1990, husband-wife team likely now mid-60s+",,1990,36,Active (assumed),False,20,"structural steel fabrication, steel erection, plate fabrication, heavy equipment repair (crane booms — Andrew's Boom Repair legacy)",c03c477f-f30f-4a21-8c1b-c69cb707803b,84,Owner age ~65 in classic succession window (63-67); tenure 36 yrs (mod +2),57,certs: AISC (+2); emp band 20 (+5),53,pre-1990 same shop (+12); no CAD/CAM stack (+4); modern equip noted (-4); succession gap noted (+5); no certs listed (+1),74,Harris County metro (74); welding=low PE attention/entry oppty,66,C,Score 66 (C) | L1=84 L2=57 L3=53 L4=74 | raw 66 (C) → C after gates | Confidence=medium,CAD/CAM digital quoting + ERP modernization for EBITDA lift | Successor-as-GM retention path; sale-leaseback of facility,medium,0.6,False,
BHS Welding LLC,,Houston,Harris,TX,,,,https://www.bhswelding.com/,welding_metal_fab,332323,,,unknown — owners not named on website,,1996,30,Active (assumed),False,10,"structural welding, custom gates/railings, pipe/tube, aluminum/stainless steel, architectural metalwork",c03c477f-f30f-4a21-8c1b-c69cb707803b,47,Age unknown; tenure proxy (30 yrs) suggests mid-career; tenure 30 yrs (mod +2),52,emp band 10 (+2),48,pre-2000 same shop (+8); no CAD/CAM stack (+4); modern equip noted (-4); phone-driven sales (+4); active social (-4); anonymous principal (+4); no certs listed (+1),74,Harris County metro (74); welding=low PE attention/entry oppty,53,D,Score 53 (D) | L1=47 L2=52 L3=48 L4=74 | raw 53 (D) → D after gates | Confidence=low,Premium-residential digital marketing + architect-channel partnership | CAD/CAM digital quoting + ERP modernization for EBITDA lift | Successor-as-GM retention path; sale-leaseback of facility,low,0.5,False,
ALLWELD Welding and Fabrication,,Houston,Harris,TX,,,,https://allweldhouston.com/,welding_metal_fab,332710,David Currie (LinkedIn-confirmed),,"unknown — LinkedIn ID only, no age signal in spine",,,,Active (assumed),False,8,"welding and fabrication for residential, commercial, industrial",c03c477f-f30f-4a21-8c1b-c69cb707803b,25,Age unknown; tenure too short for confident inference (0 yrs); tenure 0 yrs (mod +0),52,emp band 8 (+2),46,no CAD/CAM stack (+4); no modern equip (+3); social absent (+3); no certs listed (+1),74,Harris County metro (74); welding=low PE attention/entry oppty,45,D,Score 45 (D) | L1=25 L2=52 L3=46 L4=74 | raw 45 (D) → D after gates | Confidence=low,CAD/CAM digital quoting + ERP modernization for EBITDA lift | Successor-as-GM retention path; sale-leaseback of facility,low,0.35,False,
"Channel Sheet Metal, Inc.",,La Porte,Harris,TX,,,,https://www.channelsheetmetal.net/,welding_metal_fab,332313,Unknown — owners not on website. Facebook handle 'hastelloy1966' suggests reference to either 1966 founding event or early Hastelloy capability date. Stephanie Allen named on LinkedIn (role TBD). Needs deeper entity-search.,,unknown — owners not on website,,1947,79,Active (assumed),False,45,"industrial sheet/plate fabrication in steel, stainless, aluminum, EXOTIC ALLOYS (Hastelloy, Inconel, Alloy 20)",c03c477f-f30f-4a21-8c1b-c69cb707803b,66,Age unknown; tenure proxy (79 yrs) suggests owner age window; tenure 79 yrs (mod +6),80,"certs: ISO 9001, AS9100 (+10); customers: petrochem (+4); RE: owns building, substantial real estate (+7); niche: exotic-alloy specialty (+4); emp band 45 (+5)",43,pre-1990 same shop (+12); CAD/CAM present (-5); modern equip noted (-4); anonymous principal (+4); no certs listed (+1),82,Houston Ship Channel / petrochem corridor (82); welding=low PE attention/entry oppty,65,C,Score 65 (C) | L1=66 L2=80 L3=43 L4=82 | raw 65 (C) → C after gates | Confidence=medium,Turnaround/MRO recurring contracts + digital quoting for petrochem owners | CAD/CAM digital quoting + ERP modernization for EBITDA lift | Successor-as-GM retention path; sale-leaseback of facility,medium,0.55,False,
"Bise Welding & Fabricating, Inc.",,Houston,Harris,TX,,,,https://bisewelding.com/,welding_metal_fab,332710,Kelly D. Bise (Owner / President),60,"founder_tenure_proxy — founded 1985 (41 yrs ago); if Kelly founded at age ~30, he is now ~70+; if 2nd gen took over after father founded, likely 55-65",,1985,41,Active (assumed),False,20,"rolled and welded cylinders (ASME SEC VIII DIV 1), plate rolling, steel pipe fab for petroleum/petrochem",c03c477f-f30f-4a21-8c1b-c69cb707803b,69,Owner age ~60 approaching succession window (58-62); tenure 41 yrs (mod +4),76,"certs: ISO 9001, API (non-Q1) (+12); customers: petrochem, offshore/marine (+6); niche: ASME pressure vessel (+3); emp band 20 (+5)",61,pre-1990 same shop (+12); no CAD/CAM stack (+4); no modern equip (+3); social absent (+3); sole/eponymous principal (+3); no certs listed (+1),82,Houston Ship Channel / petrochem corridor (82); welding=low PE attention/entry oppty,70,B,Score 70 (B) | L1=69 L2=76 L3=61 L4=82 | raw 70 (B) → B after gates | Confidence=high,Turnaround/MRO recurring contracts + digital quoting for petrochem owners | ASME pressure-vessel niche scale-up; bolt-on adjacent shops | CAD/CAM digital quoting + ERP modernization for EBITDA lift | Successor-as-GM retention path; sale-leaseback of facility,high,0.75,True,
