legal_name,city,county,state,zip,vertical,naics_code,owner_name,owner_age_estimate,owner_tenure_years,years_in_business,employee_count_estimate,entity_status,is_distressed,layer1_base_rate,layer1_comment,layer2_sellability,layer2_comment,layer3_behavioral_trigger,layer3_comment,layer4_market_pull,layer4_comment,final_score,final_tier,confidence,data_completeness,deep_dive_pending,final_comment,value_add_thesis,score_run_id,spine_index,owner_age_source
"Thad Ziegler Glass, Ltd.",San Antonio,Bexar,TX,,glass_services,238150,Ziegler family (descendants of Thad Ziegler),60,,133,45,Active,False,67,"owner ~60 (58-62 band), tenure 133yr",78,"mixed/residential mix, ~45 FTE, 133yr",42,2 weighted coasting tells (0 high) | succession_done=True,70,San Antonio,63,B_forward,medium,0.62,False,"L1=67 (owner ~60 (58-62 band), tenure 133yr) L2=78 L3=42 L4=70 → final 63. Family successor already in place. Tier B_forward based on owner age + coasting tells + market pull.",Watch-list candidate — succession window approaching. Residential + shower mix; needs commercial diversification. Forward to ETA buyer with 6-12mo monitoring cadence.,3e6f3700-c6f2-47f1-997a-dc420d9fa1f5,0,"heuristic_founded_pre_1950_multi_gen — site says 'oldest family-operated glass company in the U.S.A.', implying 4+ generations; current operating principals likely 55-70"
Samuel's Glass Company,San Antonio,Bexar,TX,,glass_services,238150,Samuel family (multi-generational),60,,112,30,Active,False,67,"owner ~60 (58-62 band), tenure 112yr",78,"mixed/residential mix, ~30 FTE, 112yr",27,1 weighted coasting tells (0 high) | succession_done=True,70,San Antonio,58,C_watch,medium,0.62,False,"L1=67 (owner ~60 (58-62 band), tenure 112yr) L2=78 L3=27 L4=70 → final 58. Family successor already in place. Tier C_watch based on owner age + coasting tells + market pull.",Monitor for 12-24mo. Re-score after enrichment of successor / financials.,3e6f3700-c6f2-47f1-997a-dc420d9fa1f5,1,heuristic_founded_pre_1950_multi_gen
GB Glass & Screen,San Antonio,Bexar,TX,,glass_services,238150,"Gabriel (founder, surname undisclosed on site)",55,,19,5,Active,False,43,"owner ~55 (53-57 band), tenure 19yr",68,"mixed/residential mix, ~5 FTE, 19yr",60,2 weighted coasting tells (0 high) | succession_done=False,70,San Antonio,58,C_watch,medium,0.65,False,"L1=43 (owner ~55 (53-57 band), tenure 19yr) L2=68 L3=60 L4=70 → final 58. Tier C_watch based on owner age + coasting tells + market pull.",Monitor for 12-24mo. Re-score after enrichment of successor / financials.,3e6f3700-c6f2-47f1-997a-dc420d9fa1f5,2,heuristic_founded_2000-2010_original_founder
Affordable Glass and Mirrors,San Antonio,Bexar,TX,,glass_services,238150,founder/family undisclosed on site,68,,47,6,Active,False,92,"owner ~68 (68+ band), tenure 47yr",74,"mixed/residential mix, ~6 FTE, 47yr",85,4 weighted coasting tells (0 high) | succession_done=False,70,San Antonio,82,B_forward,low,0.55,False,"L1=92 (owner ~68 (68+ band), tenure 47yr) L2=74 L3=85 L4=70 → final 82. Tier B_forward based on owner age + coasting tells + market pull.",Watch-list candidate — succession window approaching. Residential + shower mix; needs commercial diversification. Forward to ETA buyer with 6-12mo monitoring cadence.,3e6f3700-c6f2-47f1-997a-dc420d9fa1f5,3,heuristic_founded_pre_1980_original_or_second_gen — 47-year tenure implies founder is ~70 or has handed to son/daughter ~55-65
Shower Doors Today LLC,San Antonio,Bexar,TX,,glass_services,238150,founder undisclosed on site,45,,10,4,Active,False,20,"owner ~45 (<53 band), tenure 10yr",61,"mixed/residential mix, ~4 FTE, 10yr",45,1 weighted coasting tells (0 high) | succession_done=False,70,San Antonio,45,C_watch,low,0.55,False,"L1=20 (owner ~45 (<53 band), tenure 10yr) L2=61 L3=45 L4=70 → final 45. Tier C_watch based on owner age + coasting tells + market pull.",Monitor for 12-24mo. Re-score after enrichment of successor / financials.,3e6f3700-c6f2-47f1-997a-dc420d9fa1f5,4,heuristic_founded_post_2010_original_founder
Mike and Son Glass Service,San Antonio,Bexar,TX,,glass_services,238150,Mike (founder) + son (named in DBA),62,,24,4,Active,False,71,"owner ~62 (58-62 band), tenure 24yr",70,"mixed/residential mix, ~4 FTE, 24yr",70,3 weighted coasting tells (0 high) | succession_done=False,70,San Antonio,70,B_forward,low,0.45,False,"L1=71 (owner ~62 (58-62 band), tenure 24yr) L2=70 L3=70 L4=70 → final 70. Family successor already in place. Tier B_forward based on owner age + coasting tells + market pull.",Watch-list candidate — succession window approaching. Residential + shower mix; needs commercial diversification. Forward to ETA buyer with 6-12mo monitoring cadence.,3e6f3700-c6f2-47f1-997a-dc420d9fa1f5,5,heuristic_father_son_operation_father_typically_60-70 — son in DBA suggests succession active
Alamo Glass and Mirror Company,Dallas,Dallas,TX,,glass_services,238150,Alamo family (multi-generational); current operator undisclosed on site,60,,83,25,Active,False,67,"owner ~60 (58-62 band), tenure 83yr",78,"mixed/residential mix, ~25 FTE, 83yr",42,2 weighted coasting tells (0 high) | succession_done=True,67,DFW/Houston/Austin,62,B_forward,medium,0.62,False,"L1=67 (owner ~60 (58-62 band), tenure 83yr) L2=78 L3=42 L4=67 → final 62. Family successor already in place. Tier B_forward based on owner age + coasting tells + market pull.",Watch-list candidate — succession window approaching. Residential + shower mix; needs commercial diversification. Forward to ETA buyer with 6-12mo monitoring cadence.,3e6f3700-c6f2-47f1-997a-dc420d9fa1f5,6,heuristic_founded_pre_1950_multi_gen
Mister Glass Inc.,Dallas,Dallas,TX,,glass_services,238150,founding family — 3rd generation per spine,50,,66,15,Active,False,29,"owner ~50 (<53 band), tenure 66yr",76,"mixed/residential mix, ~15 FTE, 66yr",42,2 weighted coasting tells (0 high) | succession_done=True,67,DFW/Houston/Austin,50,C_watch,medium,0.62,False,"L1=29 (owner ~50 (<53 band), tenure 66yr) L2=76 L3=42 L4=67 → final 50. Family successor already in place. Tier C_watch based on owner age + coasting tells + market pull.",Monitor for 12-24mo. Re-score after enrichment of successor / financials.,3e6f3700-c6f2-47f1-997a-dc420d9fa1f5,7,heuristic_3rd_generation_current_operator_typically_45-60
"Imperial Glass TX, LLC",Dallas,Dallas,TX,,glass_services,238150,founder/family undisclosed on site,60,,26,8,Active,False,67,"owner ~60 (58-62 band), tenure 26yr",74,"mixed/residential mix, ~8 FTE, 26yr",70,3 weighted coasting tells (0 high) | succession_done=False,67,DFW/Houston/Austin,70,B_forward,low,0.58,False,"L1=67 (owner ~60 (58-62 band), tenure 26yr) L2=74 L3=70 L4=67 → final 70. Tier B_forward based on owner age + coasting tells + market pull.",Watch-list candidate — succession window approaching. Residential + shower mix; needs commercial diversification. Forward to ETA buyer with 6-12mo monitoring cadence.,3e6f3700-c6f2-47f1-997a-dc420d9fa1f5,8,heuristic_founded_2000_original_founder_typically_55-65_now
Covarrubias Glass & Mirror LLC,Dallas,Dallas,TX,,glass_services,238150,Covarrubias family (per legal name),52,,16,8,Active,False,27,"owner ~52 (<53 band), tenure 16yr",72,"mixed/residential mix, ~8 FTE, 16yr",45,1 weighted coasting tells (0 high) | succession_done=False,67,DFW/Houston/Austin,50,C_watch,low,0.5,False,"L1=27 (owner ~52 (<53 band), tenure 16yr) L2=72 L3=45 L4=67 → final 50. Tier C_watch based on owner age + coasting tells + market pull.",Monitor for 12-24mo. Re-score after enrichment of successor / financials.,3e6f3700-c6f2-47f1-997a-dc420d9fa1f5,9,heuristic_small_family_LLC_commercial_GC_work
Addison Glass & Mirror Inc,Carrollton,Dallas,TX,,glass_services,238150,founder/family undisclosed on site,70,,46,10,Active,False,94,"owner ~70 (68+ band), tenure 46yr",74,"mixed/residential mix, ~10 FTE, 46yr",70,3 weighted coasting tells (0 high) | succession_done=False,67,DFW/Houston/Austin,78,A_acquire_self,medium,0.6,True,"L1=94 (owner ~70 (68+ band), tenure 46yr) L2=74 L3=70 L4=67 → final 78. Tier A_acquire_self based on owner age + coasting tells + market pull.","Acquire long-tenure operator with no published successor. Modernize (CRM, dispatch, route optimization). Add commercial-glazing capability. EBITDA uplift 25-40% via ops modernization.",3e6f3700-c6f2-47f1-997a-dc420d9fa1f5,10,heuristic_founded_1980_original_founder_now_~70
"JPON Glass Company, Inc.",Garland,Dallas,TX,,glass_services,238150,founder/family undisclosed on site,67,,40,12,Active,False,91,"owner ~67 (63-67 band), tenure 40yr",76,"mixed/residential mix, ~12 FTE, 40yr",60,2 weighted coasting tells (0 high) | succession_done=False,67,DFW/Houston/Austin,74,B_forward,low,0.58,False,"L1=91 (owner ~67 (63-67 band), tenure 40yr) L2=76 L3=60 L4=67 → final 74. Tier B_forward based on owner age + coasting tells + market pull.",Watch-list candidate — succession window approaching. Residential + shower mix; needs commercial diversification. Forward to ETA buyer with 6-12mo monitoring cadence.,3e6f3700-c6f2-47f1-997a-dc420d9fa1f5,11,heuristic_founded_1986_original_founder_now_~67
Garland Glass & Mirror,Rowlett,Dallas,TX,,glass_services,238150,founder/family undisclosed on site,60,,66,25,Active,False,67,"owner ~60 (58-62 band), tenure 66yr",78,"mixed/residential mix, ~25 FTE, 66yr",27,1 weighted coasting tells (0 high) | succession_done=True,67,DFW/Houston/Austin,58,C_watch,medium,0.65,False,"L1=67 (owner ~60 (58-62 band), tenure 66yr) L2=78 L3=27 L4=67 → final 58. Family successor already in place. Tier C_watch based on owner age + coasting tells + market pull.",Monitor for 12-24mo. Re-score after enrichment of successor / financials.,3e6f3700-c6f2-47f1-997a-dc420d9fa1f5,12,heuristic_60yr_brand_likely_2nd_or_3rd_gen_now
