legal_name,dba_name,city,county,zip,address,phone,website,owner_name,owner_age_estimate,owner_age_source,owner_tenure_years,years_in_business,provider_count_estimate,employee_count_estimate,is_distressed,distress_reasons,layer1_base_rate,layer1_comment,layer2_sellability,layer2_comment,layer3_behavioral_trigger,layer3_comment,layer4_market_pull,layer4_comment,final_score,final_tier,final_comment,value_add_thesis,confidence,data_completeness,practice_type
Altig Optical,,Fort Worth,Tarrant,76137,3451 Western Center Boulevard,(817) 847-0030,https://www.altigoptical.com/,Dr. William D Altig,66,practice_start_1985_proxy,41,34,4,,False,[],88,"Dr. William D Altig, est. age ~66 (practice_start_1985_proxy); 34-yr practice tenure.",85,34-yr medical_eye_care practice; 4 OD(s); optical attached=true. Annual exam + contact lens recurring revenue.,60,2 coasting tell(s). Successor-check live-fetch captured.,84,Tarrant County. MyEyeDr/Acuity/Keplr/AEG less aggressive than DSO consolidation in dental — solo $700K-$1.2M OD-owned practices still under-targeted.,78,B_forward,"L1 88/L2 85/L3 60/L4 84 → final 78, tier B_forward (conf medium).",,medium,0.62,medical_eye_care
Vision Plus,,San Antonio,Bexar,78238,3331 Wurzbach Rd B,(210) 520-6353,https://www.visionplustx.com/,Dr. Thomas J. Goldstein (Optometrist/Owner) + Jennifer Goldstein (Business Manager/Co-owner),64,noecno_grad_year_proxy_1986,40,32,2,,False,[],82,"Dr. Thomas J. Goldstein (Optometrist/Owner) + Jennifer Goldstein (Business Manager/Co-owner), est. age ~64 (noecno_grad_year_proxy_1986); 32-yr practice tenure.",88,32-yr medical_eye_care practice; 2 OD(s); optical attached=true. Annual exam + contact lens recurring revenue.,60,2 coasting tell(s). Successor-check live-fetch not completed.,82,Bexar County. MyEyeDr/Acuity/Keplr/AEG less aggressive than DSO consolidation in dental — solo $700K-$1.2M OD-owned practices still under-targeted.,77,B_forward,"L1 82/L2 88/L3 60/L4 82 → final 77, tier B_forward (conf medium).",,medium,0.62,medical_eye_care
Bellaire Optometry Clinic,Bellaire Optometry,Houston,Harris,77072,10080 Bellaire Blvd Suite 105,(713) 774-3211,https://www.bellaireoptometry.com/,Dr. Anne Huyen Le,63,license_tenure_proxy,37,37,1,,False,[],79,"Dr. Anne Huyen Le, est. age ~63 (license-tenure proxy); 37-yr practice tenure.",86,37-yr mixed practice; 1 OD(s); optical attached=true. Annual exam + contact lens recurring revenue.,60,2 coasting tell(s). Successor-check live-fetch not completed.,84,Harris County. MyEyeDr/Acuity/Keplr/AEG less aggressive than DSO consolidation in dental — solo $700K-$1.2M OD-owned practices still under-targeted.,76,B_forward,"L1 79/L2 86/L3 60/L4 84 → final 76, tier B_forward (conf medium).",,medium,0.62,mixed
North Texas Eye Care,,Southlake,Tarrant,76092,101 River Oaks Drive #100,(817) 562-2101,https://www.ntxeyecare.com/,Dr. Gregory Kloesel,62,uhco_grad_year_proxy_1989,37,34,1,,False,[],75,"Dr. Gregory Kloesel, est. age ~62 (uhco_grad_year_proxy_1989); 34-yr practice tenure.",88,34-yr medical_eye_care practice; 1 OD(s); optical attached=true. Annual exam + contact lens recurring revenue.,60,2 coasting tell(s). Successor-check live-fetch captured.,84,Tarrant County. MyEyeDr/Acuity/Keplr/AEG less aggressive than DSO consolidation in dental — solo $700K-$1.2M OD-owned practices still under-targeted.,75,B_forward,"L1 75/L2 88/L3 60/L4 84 → final 75, tier B_forward (conf medium).",,medium,0.62,medical_eye_care
Vision Source Aldine,,Houston,Harris,77039,5164 Aldine Mail Road,(281) 449-7400,https://visionsource-aldine.com/,Dr. Ravindra (Ravi) Kankaria,60,license_tenure_proxy,33,33,2,8,False,[],67,"Dr. Ravindra (Ravi) Kankaria, est. age ~60 (license-tenure proxy); 33-yr practice tenure.",86,33-yr mixed practice; 2 OD(s); optical attached=true. Annual exam + contact lens recurring revenue.,60,2 coasting tell(s). Successor-check live-fetch not completed.,84,Harris County. MyEyeDr/Acuity/Keplr/AEG less aggressive than DSO consolidation in dental — solo $700K-$1.2M OD-owned practices still under-targeted.,72,B_forward,"L1 67/L2 86/L3 60/L4 84 → final 72, tier B_forward (conf medium).",,medium,0.62,mixed
Park Cities Eye Associates,,Dallas,Dallas,75225,8115 Preston Rd Suite 630,(214) 360-9951,https://www.parkcitieseye.com/,Dr. Cathy Ann Norton,60,license_tenure_proxy,30,30,1,6,False,[],67,"Dr. Cathy Ann Norton, est. age ~60 (license-tenure proxy); 30-yr practice tenure.",88,30-yr medical_eye_care practice; 1 OD(s); optical attached=true. Annual exam + contact lens recurring revenue.,42,1 coasting tell(s). Successor-check live-fetch not completed.,87,Dallas County. MyEyeDr/Acuity/Keplr/AEG less aggressive than DSO consolidation in dental — solo $700K-$1.2M OD-owned practices still under-targeted.,68,B_forward,"L1 67/L2 88/L3 42/L4 87 → final 68, tier B_forward (conf medium).",,medium,0.62,medical_eye_care
Parmer Eye Care,,Austin,Travis,78717,9900 W Parmer Lane Suite 210,(737) 339-3081,https://www.parmereyecare.com/,Dr. Sundra Lemanski,56,graduation_year_proxy,30,28,3,,False,[],51,"Dr. Sundra Lemanski, est. age ~56 (graduation_year_proxy); 28-yr practice tenure.",81,28-yr medical_eye_care practice; 3 OD(s); optical attached=true. Annual exam + contact lens recurring revenue.,60,2 coasting tell(s). Successor-check live-fetch captured.,84,Travis County. MyEyeDr/Acuity/Keplr/AEG less aggressive than DSO consolidation in dental — solo $700K-$1.2M OD-owned practices still under-targeted.,66,B_forward,"L1 51/L2 81/L3 60/L4 84 → final 66, tier B_forward (conf medium).",,medium,0.62,medical_eye_care
Southlake Family Eye Care,KJK Eye Care LLC,Southlake,Tarrant,76092,510 E Southlake Blvd Suite 100,(817) 481-1665,https://www.southlakefamilyeyecare.com/,Dr. Kirk J. Koogler,56,uhco_grad_year_proxy_1995,31,29,1,4,False,[],51,"Dr. Kirk J. Koogler, est. age ~56 (uhco_grad_year_proxy_1995); 29-yr practice tenure.",79,29-yr mixed practice; 1 OD(s); optical attached=true. Annual exam + contact lens recurring revenue.,60,2 coasting tell(s). Successor-check live-fetch captured.,81,Tarrant County. MyEyeDr/Acuity/Keplr/AEG less aggressive than DSO consolidation in dental — solo $700K-$1.2M OD-owned practices still under-targeted.,65,B_forward,"L1 51/L2 79/L3 60/L4 81 → final 65, tier B_forward (conf medium).",,medium,0.62,mixed
Lakeside Vision & Optical,,Plano,Collin,75093,4012 Preston Road Suite 500,(972) 985-3638,https://www.lakesidevisionplano.com/,Dr. Deborah Moon,55,license_tenure_proxy,22,22,2,6,False,[],43,"Dr. Deborah Moon, est. age ~55 (license-tenure proxy); 22-yr practice tenure.",81,22-yr medical_eye_care practice; 2 OD(s); optical attached=true. Annual exam + contact lens recurring revenue.,60,2 coasting tell(s). Successor-check live-fetch not completed.,86,Collin County. MyEyeDr/Acuity/Keplr/AEG less aggressive than DSO consolidation in dental — solo $700K-$1.2M OD-owned practices still under-targeted.,64,B_forward,"L1 43/L2 81/L3 60/L4 86 → final 64, tier B_forward (conf medium).",,medium,0.62,medical_eye_care
Eagle Ranch Vision,,Fort Worth,Tarrant,,7201 Boat Club Road,(817) 750-2233,https://www.eagleranchvision.com/,Dr. Corey Giammarco (presumptive),,unknown,,21,6,,False,[],45,"Dr. Corey Giammarco (presumptive), age UNKNOWN; 21-yr practice tenure — license-tenure proxy only.",78,21-yr medical_eye_care practice; 6 OD(s); optical attached=true. Annual exam + contact lens recurring revenue.,60,2 coasting tell(s). Successor-check live-fetch captured.,84,Tarrant County. MyEyeDr/Acuity/Keplr/AEG less aggressive than DSO consolidation in dental — solo $700K-$1.2M OD-owned practices still under-targeted.,64,B_forward,"L1 45/L2 78/L3 60/L4 84 → final 64, tier B_forward (conf medium).",,medium,0.5,medical_eye_care
Texas State Optical Sugar Land,TSO Sugar Land,Sugar Land,Fort Bend,77478,13879 Southwest Freeway,(281) 238-5668,https://www.tsosugarland.com/,Dr. Robert Le,57,graduation_year_proxy,29,29,1,,False,[],55,"Dr. Robert Le, est. age ~57 (graduation_year_proxy); 29-yr practice tenure.",81,29-yr medical_eye_care practice; 1 OD(s); optical attached=true. Annual exam + contact lens recurring revenue.,42,1 coasting tell(s). Successor-check live-fetch captured.,84,Fort Bend County. MyEyeDr/Acuity/Keplr/AEG less aggressive than DSO consolidation in dental — solo $700K-$1.2M OD-owned practices still under-targeted.,62,B_forward,"L1 55/L2 81/L3 42/L4 84 → final 62, tier B_forward (conf medium).",,medium,0.62,medical_eye_care
VisualEyes,,Fort Worth,Tarrant,76132,6037 Harris Parkway,(817) 294-2800,https://visualeyeswest.com/,Dr. Keira R. West,50,optometry_grad_year_proxy_2001,25,25,3,,False,[],29,"Dr. Keira R. West, est. age ~50 (optometry_grad_year_proxy_2001); 25-yr practice tenure.",81,25-yr medical_eye_care practice; 3 OD(s); optical attached=true. Annual exam + contact lens recurring revenue.,60,2 coasting tell(s). Successor-check live-fetch not completed.,84,Tarrant County. MyEyeDr/Acuity/Keplr/AEG less aggressive than DSO consolidation in dental — solo $700K-$1.2M OD-owned practices still under-targeted.,60,B_forward,"L1 29/L2 81/L3 60/L4 84 → final 60, tier B_forward (conf medium).",,medium,0.62,medical_eye_care
