legal_name,dba_name,city,county,zip,address,phone,website,owner_name,owner_age_estimate,owner_age_source,owner_tenure_years,years_in_business,provider_count_estimate,employee_count_estimate,is_distressed,distress_reasons,layer1_base_rate,layer1_comment,layer2_sellability,layer2_comment,layer3_behavioral_trigger,layer3_comment,layer4_market_pull,layer4_comment,final_score,final_tier,final_comment,value_add_thesis,confidence,data_completeness
Texas Roof Management Inc.,,Richardson,Dallas,75081,728 Lingco Drive,(972) 272-7663,https://texasroof.com/,,,license_tenure_proxy,30,30,,,False,,75,"Texas Roof Management Inc., founded 1996 (30 yrs in business). Owner identity Founded by Wayne Awtrey. Wayne died 2003. Catherine (widow) has run it since. An. License_tenure_proxy used (no OV65/voter/DMV access this run); confidence capped accordingly.",82,Sub-trade commercial. Recurring revenue signal: STRONG. Tenure 30 yrs. SBA-financeable size estimate based on services + scope.,81,"Live-fetch on https://texasroof.com/company/our-team/ + https://texasroof.com/catherine-awtrey-recognized-in-d-ceo-magazine/ confirms NO same-surname or platform successor visible on team page. Catherine Awtrey (President/Owner, took over 2003 = 23 yrs). Address: 728 Lingco Drive, Richardson TX 75081 (Dallas suburb, NOT Houston). Wayne Awtrey",78,TX roofing PE rollup velocity high (Tecta America most aggressive commercial buyer; DaBella/Erie residential). Metro: Richardson (Dallas) — sub-market nudge +0. Vertical baseline 75 for TX roofing 2026.,79,A_acquire_self,"Texas Roof Management Inc. — Richardson (Dallas County). Founded 1996, 30 yrs. L1 75, L2 82, L3 81, L4 78 → final 79. Live-fetch on https://texasroof.com/company/our-team/ + https://texasroof.com/catherine-awtrey-recognized-in-d-ceo-magazine/ confirms NO same-surname or platform successor visible on team page. Cather Tier: A_acquire_self.",Commercial maintenance contract growth via systematic AI dispatch + EagleView/Hover aerial measurement + drone inspection automation + automated review generation. For pure-commercial: build the recurring-inspection portfolio to 60%+ of revenue — multiple compresses up to 7-10x EBITDA at platform-scale exit (Tecta America bolt-on bid). For mixed-sub-trade: residential-replacement-to-commercial-maintenance migration thesis.,medium,1.0
Gill Roofing Co Inc,,Corpus Christi,Nueces,,,,https://www.gillroofingcoinc.com/,,,license_tenure_proxy,81,81,,,False,,86,"Gill Roofing Co Inc, founded 1945 (81 yrs in business). Owner identity Since 1945. 81 yrs. Fully licensed + insured. Corpus Christi + surrounding.. License_tenure_proxy used (no OV65/voter/DMV access this run); confidence capped accordingly.",75,Sub-trade residential_plus_commercial. Tenure 81 yrs. SBA-financeable size estimate based on services + scope.,58,Successor verification incomplete this run (Since 1945 = 81 yrs. License #03-0172. EPA Lead Safe. RCAT + GAF + Owens-Corning + BBB. Family-owned. Darlene email cont); capped at C_watch per skill guardrail.,80,TX roofing PE rollup velocity high (Tecta America most aggressive commercial buyer; DaBella/Erie residential). Metro: Corpus Christi (Nueces) — sub-market nudge +2. Vertical baseline 75 for TX roofing 2026.,74,A_acquire_self,"Gill Roofing Co Inc — Corpus Christi (Nueces County). Founded 1945, 81 yrs. L1 86, L2 75, L3 58, L4 80 → final 74. Successor verification incomplete this run (Since 1945 = 81 yrs. License #03-0172. EPA Lead Safe. RCAT + GAF + Owens-Corning + BBB. Family-owned. Darlene email cont); capped at C_watch per skill guard Tier: A_acquire_self.",Commercial maintenance contract growth via systematic AI dispatch + EagleView/Hover aerial measurement + drone inspection automation + automated review generation. For pure-commercial: build the recurring-inspection portfolio to 60%+ of revenue — multiple compresses up to 7-10x EBITDA at platform-scale exit (Tecta America bolt-on bid). For mixed-sub-trade: residential-replacement-to-commercial-maintenance migration thesis.,medium,0.56
T-Rock Roofing & Contracting,,Dallas,Dallas,,,,https://dallasroofer.com/,,,license_tenure_proxy,65,65,,,False,,78,"T-Rock Roofing & Contracting, founded 1961 (65 yrs in business). Owner identity 65 yrs experience. Both residential and commercial. Long-tenure but ownership hi. License_tenure_proxy used (no OV65/voter/DMV access this run); confidence capped accordingly.",75,Sub-trade residential_plus_commercial. Tenure 65 yrs. SBA-financeable size estimate based on services + scope.,55,Successor verification incomplete this run (no enrichment data); capped at C_watch per skill guardrail.,81,TX roofing PE rollup velocity high (Tecta America most aggressive commercial buyer; DaBella/Erie residential). Metro: Dallas (Dallas) — sub-market nudge +3. Vertical baseline 75 for TX roofing 2026.,71,B_forward,"T-Rock Roofing & Contracting — Dallas (Dallas County). Founded 1961, 65 yrs. L1 78, L2 75, L3 55, L4 81 → final 71. Successor verification incomplete this run (no enrichment data); capped at C_watch per skill guardrail. Tier: B_forward.","AI dispatch + route optimization + automated reviewing. Commercial maintenance contract building. Buyer community: TX hail-corridor consolidators (Tecta America for commercial, DaBella/Erie for residential) actively bolt-on bidding 5-8x EBITDA at this scale.",low,0.44
West Texas Roofing,,Midland,Midland,,,,https://www.wtxroofing.com/,,,license_tenure_proxy,70,70,,,False,,78,"West Texas Roofing, founded 1956 (70 yrs in business). Owner identity Originally started 1956. Serving Midland/Odessa since 1988. 70 yrs total tenure.. License_tenure_proxy used (no OV65/voter/DMV access this run); confidence capped accordingly.",75,Sub-trade commercial_plus_residential. Tenure 70 yrs. SBA-financeable size estimate based on services + scope.,55,Successor verification incomplete this run (no enrichment data); capped at C_watch per skill guardrail.,75,TX roofing PE rollup velocity high (Tecta America most aggressive commercial buyer; DaBella/Erie residential). Metro: Midland (Midland) — sub-market nudge -3. Vertical baseline 75 for TX roofing 2026.,70,B_forward,"West Texas Roofing — Midland (Midland County). Founded 1956, 70 yrs. L1 78, L2 75, L3 55, L4 75 → final 70. Successor verification incomplete this run (no enrichment data); capped at C_watch per skill guardrail. Tier: B_forward.","AI dispatch + route optimization + automated reviewing. Commercial maintenance contract building. Buyer community: TX hail-corridor consolidators (Tecta America for commercial, DaBella/Erie for residential) actively bolt-on bidding 5-8x EBITDA at this scale.",low,0.44
Lankford Roofing & Construction,,Sherman,Grayson,,,,,,,license_tenure_proxy,89,89,,,False,,78,"Lankford Roofing & Construction, founded 1937 (89 yrs in business). Owner identity Since 1937. 89 yrs. Texoma area.. License_tenure_proxy used (no OV65/voter/DMV access this run); confidence capped accordingly.",75,Sub-trade residential_plus_commercial. Tenure 89 yrs. SBA-financeable size estimate based on services + scope.,55,Successor verification incomplete this run (no enrichment data); capped at C_watch per skill guardrail.,75,TX roofing PE rollup velocity high (Tecta America most aggressive commercial buyer; DaBella/Erie residential). Metro: Sherman (Grayson) — sub-market nudge -3. Vertical baseline 75 for TX roofing 2026.,70,B_forward,"Lankford Roofing & Construction — Sherman (Grayson County). Founded 1937, 89 yrs. L1 78, L2 75, L3 55, L4 75 → final 70. Successor verification incomplete this run (no enrichment data); capped at C_watch per skill guardrail. Tier: B_forward.","AI dispatch + route optimization + automated reviewing. Commercial maintenance contract building. Buyer community: TX hail-corridor consolidators (Tecta America for commercial, DaBella/Erie for residential) actively bolt-on bidding 5-8x EBITDA at this scale.",low,0.33
StazOn Roofing,,Dallas,Dallas,,,,https://stazonroof.com/,,,license_tenure_proxy,46,46,,,False,,70,"StazOn Roofing, founded 1980 (46 yrs in business). Owner identity Family-owned since 1980. Both residential and commercial.. License_tenure_proxy used (no OV65/voter/DMV access this run); confidence capped accordingly.",75,Sub-trade residential_plus_commercial. Tenure 46 yrs. SBA-financeable size estimate based on services + scope.,55,"Successor verification incomplete this run (Paul Graham (founder/President, started as teen 1980 = currently mid-60s, 46 yrs running). Justin Graham (residential sa); capped at C_watch per skill guardrail.",81,TX roofing PE rollup velocity high (Tecta America most aggressive commercial buyer; DaBella/Erie residential). Metro: Dallas (Dallas) — sub-market nudge +3. Vertical baseline 75 for TX roofing 2026.,68,B_forward,"StazOn Roofing — Dallas (Dallas County). Founded 1980, 46 yrs. L1 70, L2 75, L3 55, L4 81 → final 68. Successor verification incomplete this run (Paul Graham (founder/President, started as teen 1980 = currently mid-60s, 46 yrs running). Justin Graham (residential sa); capped at C_watch per skill guard Tier: B_forward.","AI dispatch + route optimization + automated reviewing. Commercial maintenance contract building. Buyer community: TX hail-corridor consolidators (Tecta America for commercial, DaBella/Erie for residential) actively bolt-on bidding 5-8x EBITDA at this scale.",low,0.56
Mid-Cities Roofing Inc.,,Weatherford,Parker,,,,https://midcitiesroofing.com/,,,license_tenure_proxy,49,49,,,False,,70,"Mid-Cities Roofing Inc., founded 1977 (49 yrs in business). Owner identity Serving DFW since 1977. 48+ yrs. Both residential and commercial.. License_tenure_proxy used (no OV65/voter/DMV access this run); confidence capped accordingly.",75,Sub-trade residential_plus_commercial. Tenure 49 yrs. SBA-financeable size estimate based on services + scope.,55,Successor verification incomplete this run (Founded 1977 = 48 yrs. Beau Revard listed as President per BBB. No 'Revard family' historical signal. Multi-region (Weat); capped at C_watch per skill guardrail.,81,TX roofing PE rollup velocity high (Tecta America most aggressive commercial buyer; DaBella/Erie residential). Metro: Weatherford (Parker) — sub-market nudge +3. Vertical baseline 75 for TX roofing 2026.,68,B_forward,"Mid-Cities Roofing Inc. — Weatherford (Parker County). Founded 1977, 49 yrs. L1 70, L2 75, L3 55, L4 81 → final 68. Successor verification incomplete this run (Founded 1977 = 48 yrs. Beau Revard listed as President per BBB. No 'Revard family' historical signal. Multi-region (Weat); capped at C_watch per skill guard Tier: B_forward.","AI dispatch + route optimization + automated reviewing. Commercial maintenance contract building. Buyer community: TX hail-corridor consolidators (Tecta America for commercial, DaBella/Erie for residential) actively bolt-on bidding 5-8x EBITDA at this scale.",low,0.56
Chamberlin Roofing & Waterproofing,,Houston,Harris,,,,https://www.chamberlinltd.com/,,,license_tenure_proxy,48,48,,,False,,70,"Chamberlin Roofing & Waterproofing, founded 1978 (48 yrs in business). Owner identity Founded 1978 Houston by John Kafka. Now 600+ employees, large commercial waterpr. License_tenure_proxy used (no OV65/voter/DMV access this run); confidence capped accordingly.",75,Sub-trade commercial. Tenure 48 yrs. SBA-financeable size estimate based on services + scope.,55,Successor verification incomplete this run (Founded 1897 (or 1978 Houston). 600+ employees. Multi-state. 'Proactive Asset Management' recurring revenue strong. Like); capped at C_watch per skill guardrail.,80,TX roofing PE rollup velocity high (Tecta America most aggressive commercial buyer; DaBella/Erie residential). Metro: Houston (Harris) — sub-market nudge +2. Vertical baseline 75 for TX roofing 2026.,68,B_forward,"Chamberlin Roofing & Waterproofing — Houston (Harris County). Founded 1978, 48 yrs. L1 70, L2 75, L3 55, L4 80 → final 68. Successor verification incomplete this run (Founded 1897 (or 1978 Houston). 600+ employees. Multi-state. 'Proactive Asset Management' recurring revenue strong. Like); capped at C_watch per skill guard Tier: B_forward.","AI dispatch + route optimization + automated reviewing. Commercial maintenance contract building. Buyer community: TX hail-corridor consolidators (Tecta America for commercial, DaBella/Erie for residential) actively bolt-on bidding 5-8x EBITDA at this scale.",low,0.56
Kidd Roofing,,Austin,Travis,,,,https://www.kiddroof.com/,,,license_tenure_proxy,44,44,,,False,,70,"Kidd Roofing, founded 1982 (44 yrs in business). Owner identity Founded 1982. 44 yrs. Commercial roofing since 1982. Offices in Austin, SA, Dall. License_tenure_proxy used (no OV65/voter/DMV access this run); confidence capped accordingly.",75,Sub-trade commercial_plus_residential. Tenure 44 yrs. SBA-financeable size estimate based on services + scope.,55,Successor verification incomplete this run (no enrichment data); capped at C_watch per skill guardrail.,81,TX roofing PE rollup velocity high (Tecta America most aggressive commercial buyer; DaBella/Erie residential). Metro: Austin (Travis) — sub-market nudge +3. Vertical baseline 75 for TX roofing 2026.,68,B_forward,"Kidd Roofing — Austin (Travis County). Founded 1982, 44 yrs. L1 70, L2 75, L3 55, L4 81 → final 68. Successor verification incomplete this run (no enrichment data); capped at C_watch per skill guardrail. Tier: B_forward.","AI dispatch + route optimization + automated reviewing. Commercial maintenance contract building. Buyer community: TX hail-corridor consolidators (Tecta America for commercial, DaBella/Erie for residential) actively bolt-on bidding 5-8x EBITDA at this scale.",low,0.44
Parsons Roofing,,Midland,Midland,,,,https://www.parsonsroofing.com/,,,license_tenure_proxy,78,78,,,False,,78,"Parsons Roofing, founded 1948 (78 yrs in business). Owner identity Family-run, 4 generations. Commercial focus. Midland/Odessa.. License_tenure_proxy used (no OV65/voter/DMV access this run); confidence capped accordingly.",75,Sub-trade commercial. Tenure 78 yrs. SBA-financeable size estimate based on services + scope.,45,Successor verification incomplete this run (no enrichment data); capped at C_watch per skill guardrail.,75,TX roofing PE rollup velocity high (Tecta America most aggressive commercial buyer; DaBella/Erie residential). Metro: Midland (Midland) — sub-market nudge -3. Vertical baseline 75 for TX roofing 2026.,67,B_forward,"Parsons Roofing — Midland (Midland County). Founded 1948, 78 yrs. L1 78, L2 75, L3 45, L4 75 → final 67. Successor verification incomplete this run (no enrichment data); capped at C_watch per skill guardrail. Tier: B_forward.","AI dispatch + route optimization + automated reviewing. Commercial maintenance contract building. Buyer community: TX hail-corridor consolidators (Tecta America for commercial, DaBella/Erie for residential) actively bolt-on bidding 5-8x EBITDA at this scale.",low,0.44
